PersonID,FamilyID,ProposedFirstName,ProposedLastName,ProposedDisplayName
1,1,Martin,Luther,Martin Luther
2,1,Katharina,Luther,Katharina Luther
3,1,Philipp,Luther,Philipp Luther
4,1,Magdalena,Luther,Magdalena Luther
5,2,Elisabeth,Melanchthon,Elisabeth Melanchthon
6,2,Johannes,Melanchthon,Johannes Melanchthon
7,2,Anna,Melanchthon,Anna Melanchthon
8,2,Nikolaus,Melanchthon,Nikolaus Melanchthon
9,3,Georg,Bugenhagen,Georg Bugenhagen
10,3,Margarethe,Bugenhagen,Margarethe Bugenhagen
11,3,Maria,Bugenhagen,Maria Bugenhagen
12,3,Justus,Bugenhagen,Justus Bugenhagen
13,4,Lucas,Chemnitz,Lucas Chemnitz
14,4,Barbara,Chemnitz,Barbara Chemnitz
18,5,Andreas,Gerhard,Andreas Gerhard
19,5,Ursula,Gerhard,Ursula Gerhard
20,6,Matthias,Chytraeus,Matthias Chytraeus
21,6,Dorothea,Chytraeus,Dorothea Chytraeus
22,7,Johann,Selnecker,Johann Selnecker
23,7,Sophia,Selnecker,Sophia Selnecker
24,7,Caspar,Selnecker,Caspar Selnecker
25,8,David,Jonas,David Jonas
26,8,Clara,Jonas,Clara Jonas
27,9,Paul,Cranach,Paul Cranach
28,10,Friedrich,Spalatin,Friedrich Spalatin
29,10,Christine,Spalatin,Christine Spalatin
30,11,Heinrich,Amsdorf,Rev. Heinrich Amsdorf
31,11,Helena,Amsdorf,Helena Amsdorf
33,14,Wilhelm,Agricola,Wilhelm Agricola
34,14,Agnes,Agricola,Agnes Agricola
41,18,August,Brenz,August Brenz
42,18,Eva,Brenz,Eva Brenz
170,18,Carl,Brenz,Carl Brenz
185,18,Susanna,Brenz,Susanna Brenz
16,19,Samuel,Osiander,Samuel Osiander
15,69,Theodor,Flacius,Theodor Flacius
55,69,Ludwig,Flacius,Ludwig Flacius
56,69,Martha,Flacius,Martha Flacius
58,70,Conrad,Andreae,Conrad Andreae
59,70,Johanna,Andreae,Johanna Andreae
61,71,Rosina,Hunnius,Rosina Hunnius
63,71,Otto,Hunnius,Otto Hunnius
64,71,Ernst,Hunnius,Ernst Hunnius
62,72,Hermann,Hutter,Hermann Hutter
65,73,Franz,Leyser,Rev. Franz Leyser
66,73,Amalia,Leyser,Amalia Leyser
69,75,Elias,Calov,Elias Calov
70,75,Louise,Calov,Louise Calov
71,76,Jakob,Quenstedt,Jakob Quenstedt
72,76,Caroline,Quenstedt,Caroline Quenstedt
73,77,Emilie,Hollaz,Emilie Hollaz
75,78,Michael,Walther,Michael Walther
76,79,Zacharias,Sihler,Zacharias Sihler
77,80,Tobias,Loehe,Tobias Loehe
78,80,Charlotte,Loehe,Charlotte Loehe
